year;month;camas
2019;1;13
2019;2;12
2019;3;20
2019;4;16
2019;5;15
2019;6;8
2019;7;10
2019;8;9
2019;9;18
2019;10;7
2019;11;6
2019;12;15
2020;1;17
2020;2;18
2020;3;20
2020;4;16
2020;5;22
2020;6;10
2020;7;11
2020;8;10
2020;9;18
2020;10;9
2020;11;5
2020;12;5
2021;1;10
2021;2;14
2021;3;14
2021;4;14
2021;5;8
2021;6;8
2021;7;15
2021;8;15
2021;9;11
2021;10;16
2021;11;16
2021;12;6
2022;1;9
2022;2;13
2022;3;16
2022;4;14
2022;5;20
2022;6;17
2022;7;12
2022;8;24
2022;9;19
2022;10;15
2022;11;18
2022;12;12
2023;1;9
2023;2;17
2023;3;14
2023;4;10
2023;5;22
2023;6;12
2023;7;14
2023;8;12
2023;9;11
2023;10;11
2023;11;11
2023;12;9
